sentence_id,words,labels
35,of,0
35,260000,B-AMOUNT
35,for,0
35,a,0
35,38,B-TERM
35,month,0
35,period,0
36,Can,0
36,I,0
36,secure,0
36,a,0
36,loan,0
36,amounting,0
36,to,0
36,280000,B-AMOUNT
36,for,0
36,42,B-TERM
36,months?,0
37,Interested,0
37,in,0
37,a,0
37,300000,B-AMOUNT
37,loan,0
37,for,0
37,a,0
37,span,0
37,of,0
37,55,B-TERM
37,months,0
38,Inquiring,0
38,about,0
38,a,0
38,320000,B-AMOUNT
38,loan,0
38,for,0
38,a,0
38,term,0
38,of,0
38,60,B-TERM
38,months,0
39,Seeking,0
39,to,0
39,borrow,0
39,340000,B-AMOUNT
39,for,0
39,a,0
39,period,0
39,of,0
39,18,B-TERM
39,months,0
40,How,0
40,can,0
40,I,0
40,apply,0
40,for,0
40,a,0
40,360000,B-AMOUNT
40,loan,0
40,for,0
40,47,B-TERM
40,months?,0
41,I,0
41,wish,0
41,to,0
41,get,0
41,a,0
41,loan,0
41,of,0
41,380000,B-AMOUNT
41,for,0
41,29,B-TERM
41,months,0
42,Is,0
42,it,0
42,possible,0
42,to,0
42,obtain,0
42,a,0
42,400000,B-AMOUNT
42,loan,0
42,for,0
42,52,B-TERM
42,months?,0
43,I'd,0
43,like,0
43,to,0
43,inquire,0
43,about,0
43,getting,0
43,a,0
43,420000,B-AMOUNT
43,loan,0
43,for,0
43,31,B-TERM
43,months,0
44,Can,0
44,I,0
44,get,0
44,a,0
44,quote,0
44,for,0
44,a,0
44,440000,B-AMOUNT
44,loan,0
44,over,0
44,37,B-TERM
44,months?,0
45,Looking,0
45,to,0
45,finance,0
45,460000,B-AMOUNT
45,over,0
45,a,0
45,44,B-TERM
45,month,0
45,term,0
46,I,0
46,am,0
46,interested,0
46,in,0
46,a,0
46,480000,B-AMOUNT
46,loan,0
46,for,0
46,a,0
46,53,B-TERM
46,month,0
46,duration,0
47,Seeking,0
47,advice,0
47,on,0
47,a,0
47,500000,B-AMOUNT
47,loan,0
47,for,0
47,56,B-TERM
47,months,0
48,How,0
48,to,0
48,apply,0
48,for,0
48,a,0
48,520000,B-AMOUNT
48,loan,0
48,for,0
48,a,0
48,57,B-TERM
48,month,0
48,period?,0
49,I,0
49,need,0
49,information,0
49,on,0
49,a,0
49,540000,B-AMOUNT
49,loan,0
49,for,0
49,59,B-TERM
49,months,0
50,Is,0
50,a,0
50,560000,B-AMOUNT
50,loan,0
50,feasible,0
50,for,0
50,a,0
50,61,B-TERM
50,month,0
50,term?,0
51,Inquiring,0
51,about,0
51,a,0
51,580000,B-AMOUNT
51,loan,0
51,for,0
51,a,0
51,duration,0
51,of,0
51,63,B-TERM
51,months,0
52,What,0
52,are,0
52,the,0
52,terms,0
52,for,0
52,a,0
52,600000,B-AMOUNT
52,loan,0
52,over,0
52,65,B-TERM
52,months?,0
53,Would,0
53,like,0
53,to,0
53,discuss,0
53,a,0
53,620000,B-AMOUNT
53,loan,0
53,for,0
53,a,0
53,67,B-TERM
53,month,0
53,term,0
54,Requesting,0
54,details,0
54,for,0
54,a,0
54,640000,B-AMOUNT
54,loan,0
54,over,0
54,69,B-TERM
54,months,0
55,Interested,0
55,in,0
55,securing,0
55,a,0
55,660000,B-AMOUNT
55,loan,0
55,for,0
55,71,B-TERM
55,months,0
56,How,0
56,can,0
56,I,0
56,apply,0
56,for,0
56,a,0
56,680000,B-AMOUNT
56,loan,0
56,for,0
56,a,0
56,73,B-TERM
56,month,0
56,period?,0
57,Looking,0
57,for,0
57,a,0
57,700000,B-AMOUNT
57,loan,0
57,with,0
57,a,0
57,75,B-TERM
57,month,0
57,repayment,0
57,term,0
58,Inquiring,0
58,about,0
58,financing,0
58,options,0
58,for,0
58,a,0
58,720000,B-AMOUNT
58,loan,0
58,over,0
58,77,B-TERM
58,months,0
59,Can,0
59,I,0
59,get,0
59,a,0
59,740000,B-AMOUNT
59,loan,0
59,for,0
59,a,0
59,duration,0
59,of,0
59,79,B-TERM
59,months?,0
60,Seeking,0
60,information,0
60,on,0
60,a,0
60,760000,B-AMOUNT
60,loan,0
60,for,0
60,81,B-TERM
60,months,0
61,Is,0
61,a,0
61,780000,B-AMOUNT
61,loan,0
61,available,0
61,for,0
61,a,0
61,83,B-TERM
61,month,0
61,term?,0
62,What,0
62,are,0
62,the,0
62,conditions,0
62,for,0
62,a,0
62,800000,B-AMOUNT
62,loan,0
62,over,0
62,85,B-TERM
62,months?,0
63,Exploring,0
63,options,0
63,for,0
63,a,0
63,820000,B-AMOUNT
63,loan,0
63,over,0
63,a,0
63,87,B-TERM
63,month,0
63,period,0
64,I'd,0
64,like,0
64,to,0
64,apply,0
64,for,0
64,a,0
64,840000,B-AMOUNT
64,loan,0
64,for,0
64,89,B-TERM
64,months,0
65,Could,0
65,I,0
65,get,0
65,a,0
65,860000,B-AMOUNT
65,loan,0
65,for,0
65,a,0
65,term,0
65,of,0
65,91,B-TERM
65,months?,0
66,In,0
66,need,0
66,of,0
66,a,0
66,880000,B-AMOUNT
66,loan,0
66,for,0
66,a,0
66,93,B-TERM
66,month,0
66,duration,0
67,How,0
67,to,0
67,secure,0
67,a,0
67,900000,B-AMOUNT
67,loan,0
67,for,0
67,95,B-TERM
67,months?,0
68,Looking,0
68,to,0
68,finance,0
68,920000,B-AMOUNT
68,over,0
68,97,B-TERM
68,months,0
69,I,0
69,am,0
69,considering,0
69,a,0
69,940000,B-AMOUNT
69,loan,0
69,for,0
69,a,0
69,99,B-TERM
69,month,0
69,term,0
70,Interested,0
70,in,0
70,a,0
70,960000,B-AMOUNT
70,loan,0
70,over,0
70,a,0
70,period,0
70,of,0
70,101,B-TERM
70,months,0
71,Seeking,0
71,a,0
71,980000,B-AMOUNT
71,loan,0
71,for,0
71,103,B-TERM
71,months,0
72,Can,0
72,I,0
72,arrange,0
72,a,0
72,1000000,B-AMOUNT
72,loan,0
72,for,0
72,a,0
72,duration,0
72,of,0
72,105,B-TERM
72,months?,0
73,Would,0
73,a,0
73,1020000,B-AMOUNT
73,loan,0
73,be,0
73,possible,0
73,for,0
73,a,0
73,107,B-TERM
73,month,0
73,term?,0
74,Inquiring,0
74,about,0
74,a,0
74,1040000,B-AMOUNT
74,loan,0
74,for,0
74,109,B-TERM
74,months,0
75,How,0
75,does,0
75,a,0
75,1060000,B-AMOUNT
75,loan,0
75,sound,0
75,for,0
75,a,0
75,111,B-TERM
75,month,0
75,period?,0
76,I'm,0
76,interested,0
76,in,0
76,a,0
76,1080000,B-AMOUNT
76,loan,0
76,over,0
76,113,B-TERM
76,months,0
77,Can,0
77,I,0
77,apply,0
77,for,0
77,a,0
77,1100000,B-AMOUNT
77,loan,0
77,for,0
77,a,0
77,term,0
77,of,0
77,115,B-TERM
77,months?,0
78,Seeking,0
78,a,0
78,1120000,B-AMOUNT
78,loan,0
78,for,0
78,a,0
78,duration,0
78,of,0
78,117,B-TERM
78,months,0
79,What,0
79,are,0
79,the,0
79,terms,0
79,for,0
79,a,0
79,1140000,B-AMOUNT
79,loan,0
79,over,0
79,119,B-TERM
79,months?,0
80,Interested,0
80,in,0
80,securing,0
80,a,0
80,1160000,B-AMOUNT
80,loan,0
80,for,0
80,121,B-TERM
80,months,0
81,Is,0
81,a,0
81,1180000,B-AMOUNT
81,loan,0
81,available,0
81,for,0
81,a,0
81,123,B-TERM
81,month,0
81,term?,0
82,Exploring,0
82,options,0
82,for,0
82,a,0
82,1200000,B-AMOUNT
82,loan,0
82,over,0
82,a,0
82,125,B-TERM
82,month,0
82,period,0
83,I,0
83,need,0
83,advice,0
83,on,0
83,getting,0
83,a,0
83,1220000,B-AMOUNT
83,loan,0
83,for,0
83,a,0
83,127,B-TERM
83,month,0
83,term,0
84,Can,0
84,I,0
84,get,0
84,a,0
84,1240000,B-AMOUNT
84,loan,0
84,for,0
84,a,0
84,period,0
84,of,0
84,129,B-TERM
84,months?,0
85,Looking,0
85,for,0
85,a,0
85,1260000,B-AMOUNT
85,loan,0
85,over,0
85,131,B-TERM
85,months,0
86,I'm,0
86,interested,0
86,in,0
86,a,0
86,1280000,B-AMOUNT
86,loan,0
86,for,0
86,a,0
86,133,B-TERM
86,month,0
86,duration,0
87,Seeking,0
87,a,0
87,1300000,B-AMOUNT
87,loan,0
87,for,0
87,a,0
87,term,0
87,of,0
87,135,B-TERM
87,months,0
88,How,0
88,can,0
88,I,0
88,apply,0
88,for,0
88,a,0
88,1320000,B-AMOUNT
88,loan,0
88,for,0
88,137,B-TERM
88,months?,0
89,Inquiring,0
89,about,0
89,a,0
89,1340000,B-AMOUNT
89,loan,0
89,for,0
89,a,0
89,139,B-TERM
89,month,0
89,term,0
90,I,0
90,would,0
90,like,0
90,a,0
90,1360000,B-AMOUNT
90,loan,0
90,over,0
90,141,B-TERM
90,months,0
91,Is,0
91,a,0
91,1380000,B-AMOUNT
91,loan,0
91,possible,0
91,for,0
91,a,0
91,duration,0
91,of,0
91,143,B-TERM
91,months?,0
92,Looking,0
92,to,0
92,secure,0
92,a,0
92,1400000,B-AMOUNT
92,loan,0
92,for,0
92,145,B-TERM
92,months,0
93,Request,0
93,for,0
93,a,0
93,1420000,B-AMOUNT
93,loan,0
93,for,0
93,a,0
93,period,0
93,of,0
93,147,B-TERM
93,months,0
94,Exploring,0
94,a,0
94,1440000,B-AMOUNT
94,loan,0
94,option,0
94,for,0
94,149,B-TERM
94,months,0
95,I,0
95,want,0
95,a,0
95,1460000,B-AMOUNT
95,loan,0
95,over,0
95,151,B-TERM
95,months,0
96,In,0
96,need,0
96,of,0
96,1480000,B-AMOUNT
96,for,0
96,a,0
96,153,B-TERM
96,month,0
96,loan,0
96,term,0
97,Could,0
97,I,0
97,get,0
97,financing,0
97,for,0
97,1500000,B-AMOUNT
97,over,0
97,155,B-TERM
97,months?,0
98,I,0
98,am,0
98,considering,0
98,a,0
98,1520000,B-AMOUNT
98,loan,0
98,for,0
98,157,B-TERM
98,months,0
99,Seeking,0
99,a,0
99,1540000,B-AMOUNT
99,loan,0
99,for,0
99,a,0
99,duration,0
99,of,0
99,159,B-TERM
99,months,0
100,Interested,0
100,in,0
100,a,0
100,1560000,B-AMOUNT
100,loan,0
100,for,0
100,161,B-TERM
100,months,0
101,Applying,0
101,for,0
101,a,0
101,1580000,B-AMOUNT
101,loan,0
101,over,0
101,163,B-TERM
101,months,0
102,How,0
102,to,0
102,secure,0
102,a,0
102,1600000,B-AMOUNT
102,loan,0
102,for,0
102,165,B-TERM
102,months?,0
